Year;Month;Day;Gage_1;Gage_3;Gage_4;Gage_5;Gage_7;Gage_8;Gage_45;Gage_46;Gage_56;Gage_57;Gage_58;Gage_59;Gage_62;Gage_63;Gage_72
1981;7;28;8.89;8.89;7.62;9.91;10.41;9.14;33.78;33.02;21.59;32.26;22.86;20.32;17.78;16.26;18.29
1981;7;29;2.03;1.02;1.78;2.29;2.29;2.03;5.59;3.05;8.64;5.84;2.54;3.81;6.35;4.06;4.32
1981;7;30;34.80;34.54;17.53;24.38;29.46;25.15;34.29;36.32;23.11;32.77;32.26;42.93;16.00;36.58;25.65
1981;7;31;10.67;11.43;7.37;6.60;7.87;7.62;8.64;9.14;12.45;11.18;13.97;21.59;29.21;22.35;14.73
1981;8;1;11.43;18.80;5.84;11.43;7.11;10.92;1.52;1.52;0.00;0.76;1.02;1.52;0.51;0.51;0.00
1981;8;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00
1981;8;10;5.33;4.32;12.70;6.35;25.91;13.21;16.00;19.56;24.89;30.48;11.68;3.30;7.11;5.84;32.00
1981;8;11;2.29;2.03;0.00;1.02;0.25;0.51;1.02;0.51;0.51;0.00;0.00;0.00;0.00;0.00;0.00
1981;8;12;5.33;3.56;6.35;4.57;5.33;3.81;3.05;0.00;3.05;3.81;0.00;0.25;1.02;0.51;1.27
1981;8;13;1.78;3.81;5.84;5.08;11.18;8.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;8;17;3.30;3.81;3.56;1.52;3.05;1.27;0.00;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00
1981;8;18;0.00;0.00;0.00;0.00;0.00;0.76;5.08;8.13;10.41;2.79;1.02;2.54;0.00;1.52;5.84
1981;8;19;1.02;1.52;0.76;1.52;2.79;1.78;2.29;5.84;2.03;2.29;4.06;4.57;2.29;2.54;0.00
1981;8;24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.76;0.00
1981;8;25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;1.78;0.00
1981;8;30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.38;6.10;0.25;0.25;0.00;0.00;3.56
1981;8;31;1.27;1.02;0.00;1.02;5.59;0.51;1.52;1.02;2.79;1.02;2.03;5.59;0.76;5.08;1.52
1981;9;1;1.27;3.30;1.02;3.05;1.27;1.27;2.54;2.54;0.00;1.27;0.25;1.27;0.00;0.00;0.00
1981;9;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25;0.00
1981;9;3;1.78;0.76;2.29;1.02;3.56;1.27;8.13;12.95;1.52;3.81;9.40;24.38;4.83;13.46;1.52
1981;9;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25;0.25;0.00;0.00;0.00
1981;9;5;3.05;2.29;2.29;2.29;2.54;3.30;17.53;4.06;2.79;9.91;4.06;1.78;1.52;1.27;3.05
1981;9;7;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;9;15;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;9;16;1.52;1.02;1.27;1.52;1.52;2.03;3.81;3.30;2.03;4.06;2.29;1.52;1.02;0.51;0.76
1981;9;19;4.83;6.86;3.81;5.08;4.57;5.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;9;23;1.78;1.52;1.27;1.52;0.76;2.54;0.25;0.00;12.95;0.00;3.05;0.76;1.78;2.03;7.62
1981;9;28;2.03;1.02;3.30;2.29;4.57;4.32;3.30;1.52;1.02;2.79;2.29;1.52;3.56;1.27;1.27
