"","date","temp_max_celsius","temp_min_celsius"
"1",1986-01-01,16.66575050354,2.89306235313416
"2",1986-01-02,16.4453716278076,1.51420629024506
"3",1986-01-03,15.9289035797119,2.3969361782074
"4",1986-01-04,NA,NA
"5",1986-01-05,15.2972984313965,1.5496209859848
"6",1986-01-06,16.0762023925781,0.263415038585663
"7",1986-01-07,9.96332454681396,0.228023186326027
"8",1986-01-08,11.802622795105,2.28396487236023
"9",1986-01-09,14.5190324783325,0.464259028434753
"10",1986-01-10,17.6483955383301,-0.250526189804077
"11",1986-01-11,18.501335144043,5.46583986282349
"12",1986-01-12,20.3596992492676,1.32775723934174
"13",1986-01-13,18.8751125335693,5.12306499481201
"14",1986-01-14,16.0950393676758,4.99805021286011
"15",1986-01-15,15.5513191223145,4.7072057723999
"16",1986-01-16,16.2527713775635,0.912863969802856
"17",1986-01-17,17.3720722198486,0.700380742549896
"18",1986-01-18,20.8850879669189,1.8060804605484
"19",1986-01-19,22.9694137573242,4.09253787994385
"20",1986-01-20,22.5063591003418,4.22449016571045
"21",1986-01-21,20.991096496582,2.95334339141846
"22",1986-01-22,21.334602355957,3.20426034927368
"23",1986-01-23,22.2091598510742,2.43148922920227
"24",1986-01-24,20.8252773284912,1.71362376213074
"25",1986-01-25,19.7260704040527,0.773922026157379
"26",1986-01-26,20.0314693450928,3.94024705886841
"27",1986-01-27,21.6473903656006,3.68171906471252
"28",1986-01-28,21.9815807342529,3.06571483612061
"29",1986-01-29,22.2161846160889,2.55813074111938
"30",1986-01-30,21.2210350036621,3.50836491584778
"31",1986-01-31,18.5739765167236,9.4943380355835
"32",1986-02-01,14.2257032394409,7.96544694900513
"33",1986-02-02,15.2444038391113,6.99059534072876
"34",1986-02-03,15.3405447006226,3.45381760597229
"35",1986-02-04,7.06844091415405,2.65725874900818
"36",1986-02-05,11.6774568557739,0.34595575928688
"37",1986-02-06,12.9644107818604,0.852627575397491
"38",1986-02-07,10.4238166809082,-1.11784160137177
"39",1986-02-08,8.61546802520752,2.82548403739929
"40",1986-02-09,6.37080192565918,1.80507373809814
"41",1986-02-10,7.47590732574463,-2.57377028465271
"42",1986-02-11,12.0450115203857,-3.28514528274536
"43",1986-02-12,15.8908109664917,0.954076051712036
"44",1986-02-13,17.6036415100098,2.06451845169067
"45",1986-02-14,20.350227355957,3.21157670021057
"46",1986-02-15,18.2758350372314,8.3386287689209
"47",1986-02-16,16.4571094512939,9.43417644500732
"48",1986-02-17,18.5779304504395,3.22999715805054
"49",1986-02-18,21.5366630554199,4.93144083023071
"50",1986-02-19,23.9629936218262,5.83711814880371
"51",1986-02-20,21.580696105957,6.35452079772949
"52",1986-02-21,17.5506744384766,2.38913083076477
"53",1986-02-22,18.8576412200928,0.0343456864356995
"54",1986-02-23,21.6079292297363,1.21774518489838
"55",1986-02-24,25.7250881195068,4.07639694213867
"56",1986-02-25,26.8213062286377,6.28680896759033
"57",1986-02-26,26.5005359649658,6.46752834320068
"58",1986-02-27,25.98415184021,7.17508363723755
"59",1986-02-28,24.4519157409668,9.2974910736084
"60",1986-03-01,25.1995964050293,8.71456336975098
"61",1986-03-02,22.7712669372559,9.54337692260742
"62",1986-03-03,22.0963478088379,6.4705958366394
"63",1986-03-04,22.2576503753662,8.97855567932129
"64",1986-03-05,23.2492389678955,5.75868701934814
"65",1986-03-06,24.0839519500732,5.81758451461792
"66",1986-03-07,23.0310935974121,7.32407236099243
"67",1986-03-08,23.1998176574707,6.62326717376709
"68",1986-03-09,19.1039810180664,10.5260190963745
"69",1986-03-10,17.9890975952148,6.26875066757202
"70",1986-03-11,14.2998886108398,5.95698499679565
"71",1986-03-12,14.3576955795288,2.30851101875305
"72",1986-03-13,14.3248119354248,3.598477602005
"73",1986-03-14,12.2768211364746,5.35196208953857
"74",1986-03-15,16.4642810821533,5.90922403335571
"75",1986-03-16,18.2762279510498,5.40372037887573
"76",1986-03-17,11.3367280960083,3.48542761802673
"77",1986-03-18,10.5571937561035,2.45791363716125
"78",1986-03-19,15.139331817627,0.556840837001801
"79",1986-03-20,19.4565467834473,1.25355970859528
"80",1986-03-21,23.4397468566895,6.28947830200195
"81",1986-03-22,24.114236831665,5.20597171783447
"82",1986-03-23,25.3067741394043,4.90169477462769
"83",1986-03-24,25.8834648132324,6.52764272689819
"84",1986-03-25,24.9175472259521,6.35054683685303
